id,source_sentence_id,sentence,target,from,to,polarity,domain,split,direct_raw_output,direct_prediction,sc_labels,sc_vote_counts,aspect,opinion,polarity_reasoning,raw_polarity_output,thor_prediction,direct_correct,thor_correct,direct_thor_agreement,change_group,oracle_direct_thor_prediction,oracle_source,always_thor_prediction,agreement_else_direct_prediction,agreement_else_thor_prediction,neutral_on_disagreement_prediction
385,420:1,"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!",priced,48,54,neutral,laptop,test,positive,positive,"positive,positive,positive",positive:3,price source,"Implicit opinion: Positive. The detailed breakdown of the Amazon price, including the use of a 10% off coupon to achieve a significantly lower final price ($998 vs $1100 on Apple's site), indicates satisfaction with","Sentiment polarity: Positive.
Sentiment cue: satisfaction with",Positive,positive,False,False,True,same_wrong,positive,none,positive,positive,positive,positive
386,420:1,"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!",cost,155,159,neutral,laptop,test,positive,positive,"positive,positive,positive",positive:3,discounted price,"Implicit opinion: Positive.

Explanation: The user highlights the significant discount obtained through a coupon (""plus i had a 10% off coupon"") which brought the final price down considerably from the original, indicating satisfaction with the lower cost.",Positive. Sentiment cue: 10% off coupon.,positive,positive,False,False,True,same_wrong,positive,none,positive,positive,positive,positive
518,33071731#1007204#4,The unfortunate lady next to us thought she had ordered a salad (including asking for salad dressing) and was instead given a quesedilla.,salad,58,63,neutral,restaurant,test,positive,positive,"positive,neutral,neutral",neutral:2;positive:1,salad dressing,no sentiment evidence,Sentiment polarity: Neutral,Neutral,neutral,False,True,False,fixed_by_thor,neutral,thor,neutral,positive,neutral,neutral
538,443:1,"This version of MacBook Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has.",fourth-generation Haswell CPU,90,119,neutral,laptop,test,positive,positive,"positive,positive,positive",positive:3,general,"Implicit opinion: Positive. The ""fourth-generation Haswell CPU"" is described as ""the latest,"" implying it is superior or more desirable than the older ""third-generation CPU.""","Positive (Implicit cue: ""the latest"")",positive,positive,False,False,True,same_wrong,positive,none,positive,positive,positive,positive
617,884:1,I had to get Apple Customer Support to correct the problem.,Apple Customer Support,13,35,neutral,laptop,test,positive,positive,"neutral,positive,positive",neutral:1;positive:2,general,"Implicit opinion: Positive.

Apple Customer Support successfully corrected the problem, indicating that they were effective or helpful in resolving the issue for the user.","Positive. Sentiment cue: successfully corrected the problem, effective, helpful.",positive,positive,False,False,True,same_wrong,positive,none,positive,positive,positive,positive
1074,11350142#1253117#2,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.",mozzarella sticks,79,96,neutral,restaurant,test,positive,positive,"positive,positive,positive",positive:3,availability,"Implicit opinion: Positive.

The speaker suggests adding mozzarella sticks to the menu as a desirable improvement to the ""stinky"" appetizer selection, indicating a positive view of mozzarella sticks themselves.","Sentiment polarity: Positive, with the implicit sentiment cue ""it would be nice to get some mozzarella sticks on the menu.""",Positive,positive,False,False,True,same_wrong,positive,none,positive,positive,positive,positive
9,282:9,No installation disk (DVD) is included.,installation disk (DVD),3,26,neutral,laptop,test,negative,negative,"neutral,neutral,positive",neutral:2;positive:1,dvd type,no sentiment evidence,"Sentiment polarity: Neutral
Implicit sentiment cue: Factual statement (""No installation disk (DVD) is included."")",Neutral,neutral,False,True,False,fixed_by_thor,neutral,thor,neutral,negative,neutral,neutral
18,33085939#758010#0,"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",drinks,71,77,neutral,restaurant,test,negative,negative,"negative,negative,negative",negative:3,wait time,"Implicit opinion: Negative.

The phrase ""it shouldn't take ten minutes to get your drinks"" implies that a ten-minute wait for drinks is considered too long or unsatisfactory by the speaker.","Sentiment polarity: Negative.
Sentiment cue: ""it shouldn't take ten minutes to get your drinks""",Negative,negative,False,False,True,same_wrong,negative,none,negative,negative,negative,negative
19,33085939#758010#0,"While there's a decent menu, it shouldn't take ten minutes to get your drinks and 45 for a dessert pizza.",dessert pizza,91,104,neutral,restaurant,test,negative,negative,"negative,negative,neutral",negative:2;neutral:1,preparation time,"Implicit opinion: Negative.

Explanation: The phrase ""it shouldn't take... 45 for a dessert pizza"" indicates that 45 minutes is considered an unreasonably long preparation time for this item.","Negative.
Sentiment cue: ""it shouldn't take... 45 for a dessert pizza""",Negative,negative,False,False,True,same_wrong,negative,none,negative,negative,negative,negative
164,124:1,I did add a SSD drive and memory,SSD drive,12,21,neutral,laptop,test,positive,positive,"neutral,positive,neutral",neutral:2;positive:1,general,no sentiment evidence. The sentence merely states the factual action of adding an SSD drive without any evaluative language,Sentiment polarity: Neutral,Neutral,neutral,False,True,False,fixed_by_thor,neutral,thor,neutral,positive,neutral,neutral
690,35693216#1233439#1,"The happy hour is so cheap, but that does not reflect the service or the atmosphere.",atmosphere,73,83,positive,restaurant,test,negative,negative,"negative,negative,positive",negative:2;positive:1,general,"Implicit opinion: Negative.

Explanation: The phrase ""but that does not reflect""","Negative.
Sentiment cue: but that does not reflect",negative,negative,False,False,True,same_wrong,negative,none,negative,negative,negative,negative
446,578:1,I was concerned that the downgrade to the regular hard drive would make it unacceptably slow but I need not have worried - this machine is the fastest I have ever owned...,regular hard drive,42,60,positive,laptop,test,negative,negative,"negative,negative,negative",negative:3,slowness,"Implicit opinion: Negative.

The speaker was ""concerned"" that the regular hard drive would make the machine ""unacceptably slow,"" indicating that slowness was viewed as an undesirable characteristic.","Sentiment polarity: Negative
Sentiment cue: concerned, unacceptably slow",Negative,negative,False,False,True,same_wrong,negative,none,negative,negative,negative,negative
498,479:6,"However, the experience was great since the OS does not become unstable and the application will simply shutdown and reopen.",application,80,91,positive,laptop,test,neutral,neutral,"positive,positive,positive",positive:3,error handling,"Implicit opinion: Positive.

The sentence explicitly states ""the experience was great since the application will simply shutdown and reopen,"" directly linking the application's error handling (shutting down and reopening) to a positive user experience.","Sentiment polarity: Positive
Sentiment cue: great",positive,positive,False,True,False,fixed_by_thor,positive,thor,positive,neutral,positive,neutral
595,940:1,"The screen, the software and the smoothness of the operating system.",screen,4,10,positive,laptop,test,neutral,neutral,"neutral,neutral,neutral",neutral:3,general,no sentiment evidence,"Sentiment polarity: Neutral
Sentiment cue: no sentiment evidence",neutral,neutral,False,False,True,same_wrong,neutral,none,neutral,neutral,neutral,neutral
689,35693216#1233439#1,"The happy hour is so cheap, but that does not reflect the service or the atmosphere.",service,58,65,positive,restaurant,test,negative,negative,"negative,negative,positive",negative:2;positive:1,general,"Negative. The phrase ""that does not reflect the service"" implies that the service","Negative. Implicit sentiment cue: ""that does not reflect"" (implying the service is *not* as good as the cheap price).",negative,negative,False,False,True,same_wrong,negative,none,negative,negative,negative,negative
642,36244423#1058258#1,The staff is 100% Italian and the food is as authentic as it gets.,staff,4,9,positive,restaurant,test,neutral,neutral,"positive,positive,positive",positive:3,nationality,"Positive.

The Italian nationality of the staff is presented as a positive attribute because it is directly linked to","Sentiment polarity: Positive
Sentiment cue: Implicit. The Italian nationality of the staff is presented as a positive attribute because it is directly linked to the highly positive ""authentic food"".",positive,positive,False,True,False,fixed_by_thor,positive,thor,positive,neutral,positive,neutral
145,35693214#539116#1,The steak melted in my mouth.,steak,4,9,positive,restaurant,test,positive,positive,"positive,positive,positive",positive:3,tenderness,"Positive. The phrase ""melted in my mouth"" is an idiom used to express extreme tenderness and deliciousness, which is a highly desirable quality for steak.","Positive. Cue: ""melted in my mouth""",Positive,positive,True,True,True,same_correct,positive,direct,positive,positive,positive,positive
154,503:1,Can you buy any laptop that matches the quality of a MacBook?,quality,40,47,positive,laptop,test,positive,positive,"positive,positive,positive",positive:3,general,"Implicit opinion: Positive.

The question uses MacBook quality as a high standard or benchmark that other laptops are challenged to match, implying that its quality is superior or highly regarded.","Sentiment polarity: Positive
Sentiment cue: high standard or benchmark, superior or highly regarded",positive,positive,True,True,True,same_correct,positive,direct,positive,positive,positive,positive
164,35709337#1579632#6,"Anywhere else, the prices would be 3x as high!",prices,19,25,positive,restaurant,test,positive,positive,"positive,positive,positive",positive:3,cost,"Implicit opinion: Positive. The statement ""Anywhere else, the prices would be 3x as high!"" implies that the current prices are exceptionally low and therefore a good deal, eliciting a positive sentiment.","Sentiment polarity: Positive. Implicit cue: ""Anywhere else, the prices would be 3x as high!""",positive,positive,True,True,True,same_correct,positive,direct,positive,positive,positive,positive
349,11351628#404492#2,Dieters stick to salads or indulge in vegetarian platters.,salads,17,23,positive,restaurant,test,positive,positive,"positive,positive,positive",positive:3,general,"Implicit opinion: Positive.**

**Explanation:** The phrase ""Dieters stick to salads","Sentiment polarity: Positive.
Sentiment cue: ""stick to"" (implies a preferred or beneficial choice for dieters).",positive,positive,True,True,True,same_correct,positive,direct,positive,positive,positive,positive
