gap_case,id,domain,polarity,sentence,target,direct_prediction,thor_prediction,diagnostic_label,current_selected_source,current_selected_prediction,oracle_source,oracle_prediction,meta_selector_source,meta_selector_prediction,error_type,diagnostic_confidence,sc_vote_counts,direct_to_thor_transition,current_to_oracle_source,current_to_oracle_label,meta_to_oracle_source,sc_vote_margin,sc_top_vote_share,sc_unanimous
headroom_current_wrong_oracle_correct,684,restaurant,negative,In Short The Black Sheep distinguishes itself from the Midtown pub herd with a look that's a mix of sports-bar butch and ornate kitsch.,look,positive,negative,negative,direct,positive,thor,negative,direct,positive,missed_implicit_negative,high,negative:3,positive->negative,direct->thor,positive->negative,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,687,restaurant,neutral,then she made a fuss about not being able to add 1 or 2 chairs on either end of the table for additional people.,table,neutral,negative,negative,thor,negative,direct,neutral,thor,negative,missed_implicit_negative,high,negative:3,neutral->negative,thor->direct,negative->neutral,thor->direct,3,1.0,True
headroom_current_wrong_oracle_correct,953,restaurant,neutral,"Build a meal with side orders like Amazin' Greens salads, Buffalo Chicken Kickers and Cinna Stix.",Amazin' Greens salads,positive,neutral,neutral,direct,positive,thor,neutral,direct,positive,no_error,high,neutral:2;positive:1,positive->neutral,direct->thor,positive->neutral,direct->thor,1,0.6666666666666666,False
headroom_current_wrong_oracle_correct,960,restaurant,neutral,"Thick fries, meaty chili and stuffed baked potatoes round out a menu that includes a cool, ultra-thick chocolate Frosty.",menu,positive,neutral,neutral,direct,positive,thor,neutral,direct,positive,no_error,high,neutral:3,positive->neutral,direct->thor,positive->neutral,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,1027,restaurant,negative,It took about 2 1/2 hours to be served our 2 courses.,served,negative,neutral,neutral,thor,neutral,direct,negative,thor,neutral,no_error,high,neutral:3,negative->neutral,thor->direct,neutral->negative,thor->direct,3,1.0,True
headroom_current_wrong_oracle_correct,1043,restaurant,negative,"The comments about fried foods is correct (below) but the other dishes, including the lamb entree and many of the salads (avocado shrimp) were quite good.",fried foods,neutral,negative,positive,direct,neutral,thor,negative,direct,neutral,missed_implicit_positive,medium,negative:3,neutral->negative,direct->thor,neutral->negative,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,1103,restaurant,neutral,""" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians.",burgers,positive,neutral,neutral,direct,positive,thor,neutral,direct,positive,no_error,high,neutral:3,positive->neutral,direct->thor,positive->neutral,direct->thor,3,1.0,True
headroom_current_wrong_oracle_correct,1119,restaurant,neutral,I stopped by for some brunch today and had the vegan cranberry pancakes and some rice milk.,vegan cranberry pancakes,positive,neutral,neutral,direct,positive,thor,neutral,direct,positive,no_error,high,neutral:2;positive:1,positive->neutral,direct->thor,positive->neutral,direct->thor,1,0.6666666666666666,False
headroom_current_wrong_oracle_correct,1127,restaurant,negative,"I have never in my life sent back food before, but I simply had to, and the waiter argued with me over this.",food,negative,neutral,neutral,thor,neutral,direct,negative,thor,neutral,no_error,high,negative:1;neutral:2,negative->neutral,thor->direct,neutral->negative,thor->direct,1,0.6666666666666666,False
meta_miss_current_wrong_oracle_correct_meta_wrong,385,laptop,neutral,"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!",priced,negative,neutral,neutral,direct,negative,thor,neutral,direct,negative,no_error,high,neutral:2;positive:1,negative->neutral,direct->thor,negative->neutral,direct->thor,1,0.6666666666666666,False
meta_miss_current_wrong_oracle_correct_meta_wrong,458,laptop,neutral,The power plug has to be connected to the power adaptor to charge the battery but won't stay connected.,battery,negative,neutral,neutral,direct,negative,thor,neutral,direct,negative,no_error,high,neutral:3,negative->neutral,direct->thor,negative->neutral,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,470,laptop,neutral,"There is no ""tools"" menu.","""tools"" menu",negative,neutral,neutral,direct,negative,thor,neutral,direct,negative,no_error,high,neutral:3,negative->neutral,direct->thor,negative->neutral,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,472,laptop,neutral,Needs a CD/DVD drive and a bigger power switch.,CD/DVD drive,negative,neutral,neutral,direct,negative,thor,neutral,direct,negative,no_error,high,neutral:3,negative->neutral,direct->thor,negative->neutral,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,498,laptop,positive,"However, the experience was great since the OS does not become unstable and the application will simply shutdown and reopen.",application,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,515,laptop,neutral,"Chatting with Acer support, I was advised the problem was corrupted operating system files.",Acer support,negative,neutral,neutral,direct,negative,thor,neutral,direct,negative,no_error,high,negative:1;neutral:2,negative->neutral,direct->thor,negative->neutral,direct->thor,1,0.6666666666666666,False
meta_miss_current_wrong_oracle_correct_meta_wrong,526,laptop,positive,I was a little worry at first because I don't have a lot of experience with os.x and windows has always been second nature to me after many years of using windows.,windows,neutral,positive,negative,direct,neutral,thor,positive,direct,neutral,missed_implicit_negative,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,568,laptop,positive,I will upgrade the ram myself (because with this model you can you can do it) later on.,upgrade the ram,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,619,laptop,negative,A veryimportant feature is Firewire 800 which in my experience works better then USB3 (in PC enabled with USB3)I was not originally sold on the MAC OS I felt it was inferior in many ways To Windows 7.,USB3,neutral,negative,negative,direct,neutral,thor,negative,direct,neutral,missed_implicit_negative,high,negative:2;neutral:1,neutral->negative,direct->thor,neutral->negative,direct->thor,1,0.6666666666666666,False
meta_miss_current_wrong_oracle_correct_meta_wrong,350,restaurant,positive,Dieters stick to salads or indulge in vegetarian platters.,vegetarian platters,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,neutral:1;positive:2,neutral->positive,direct->thor,neutral->positive,direct->thor,1,0.6666666666666666,False
meta_miss_current_wrong_oracle_correct_meta_wrong,362,restaurant,positive,"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.",atmosphere,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,366,restaurant,neutral,I usually get one the Vietnamese Beef Noodle Soup.,Vietnamese Beef Noodle Soup,positive,neutral,neutral,direct,positive,thor,neutral,direct,positive,no_error,high,neutral:3,positive->neutral,direct->thor,positive->neutral,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,387,restaurant,neutral,"Unfortunately, we chose this spot for lunch as we had done a lot of walking and ended up at the South St Seaport.",lunch,neutral,negative,negative,thor,negative,direct,neutral,thor,negative,missed_implicit_negative,high,negative:3,neutral->negative,thor->direct,negative->neutral,thor->direct,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,476,restaurant,neutral,"The food was definitely good, but when all was said and done, I just couldn't justify it for the price (including 2 drinks, $100/person)...",drinks,neutral,negative,negative,thor,negative,direct,neutral,thor,negative,missed_implicit_negative,high,negative:3,neutral->negative,thor->direct,negative->neutral,thor->direct,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,538,restaurant,positive,They specialize in smoothies and fresh juices.,smoothies,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,539,restaurant,positive,They specialize in smoothies and fresh juices.,fresh juices,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,544,restaurant,neutral,The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.,manager,neutral,negative,negative,thor,negative,direct,neutral,thor,negative,missed_implicit_negative,high,negative:3,neutral->negative,thor->direct,negative->neutral,thor->direct,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,648,restaurant,positive,Have a mojito and sit in the back patio.,back patio,neutral,positive,positive,direct,neutral,thor,positive,direct,neutral,no_error,high,positive:3,neutral->positive,direct->thor,neutral->positive,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,684,restaurant,negative,In Short The Black Sheep distinguishes itself from the Midtown pub herd with a look that's a mix of sports-bar butch and ornate kitsch.,look,positive,negative,negative,direct,positive,thor,negative,direct,positive,missed_implicit_negative,high,negative:3,positive->negative,direct->thor,positive->negative,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,687,restaurant,neutral,then she made a fuss about not being able to add 1 or 2 chairs on either end of the table for additional people.,table,neutral,negative,negative,thor,negative,direct,neutral,thor,negative,missed_implicit_negative,high,negative:3,neutral->negative,thor->direct,negative->neutral,thor->direct,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,953,restaurant,neutral,"Build a meal with side orders like Amazin' Greens salads, Buffalo Chicken Kickers and Cinna Stix.",Amazin' Greens salads,positive,neutral,neutral,direct,positive,thor,neutral,direct,positive,no_error,high,neutral:2;positive:1,positive->neutral,direct->thor,positive->neutral,direct->thor,1,0.6666666666666666,False
meta_miss_current_wrong_oracle_correct_meta_wrong,960,restaurant,neutral,"Thick fries, meaty chili and stuffed baked potatoes round out a menu that includes a cool, ultra-thick chocolate Frosty.",menu,positive,neutral,neutral,direct,positive,thor,neutral,direct,positive,no_error,high,neutral:3,positive->neutral,direct->thor,positive->neutral,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,1027,restaurant,negative,It took about 2 1/2 hours to be served our 2 courses.,served,negative,neutral,neutral,thor,neutral,direct,negative,thor,neutral,no_error,high,neutral:3,negative->neutral,thor->direct,neutral->negative,thor->direct,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,1043,restaurant,negative,"The comments about fried foods is correct (below) but the other dishes, including the lamb entree and many of the salads (avocado shrimp) were quite good.",fried foods,neutral,negative,positive,direct,neutral,thor,negative,direct,neutral,missed_implicit_positive,medium,negative:3,neutral->negative,direct->thor,neutral->negative,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,1103,restaurant,neutral,""" The menu includes pub fare--burgers, steaks and shepherds pie--and even a portabella lasagna for those black sheep known as ""vegetarians.",burgers,positive,neutral,neutral,direct,positive,thor,neutral,direct,positive,no_error,high,neutral:3,positive->neutral,direct->thor,positive->neutral,direct->thor,3,1.0,True
meta_miss_current_wrong_oracle_correct_meta_wrong,1119,restaurant,neutral,I stopped by for some brunch today and had the vegan cranberry pancakes and some rice milk.,vegan cranberry pancakes,positive,neutral,neutral,direct,positive,thor,neutral,direct,positive,no_error,high,neutral:2;positive:1,positive->neutral,direct->thor,positive->neutral,direct->thor,1,0.6666666666666666,False
meta_miss_current_wrong_oracle_correct_meta_wrong,1127,restaurant,negative,"I have never in my life sent back food before, but I simply had to, and the waiter argued with me over this.",food,negative,neutral,neutral,thor,neutral,direct,negative,thor,neutral,no_error,high,negative:1;neutral:2,negative->neutral,thor->direct,neutral->negative,thor->direct,1,0.6666666666666666,False
meta_regression_current_correct_meta_wrong,164,restaurant,positive,"Anywhere else, the prices would be 3x as high!",prices,negative,positive,positive,thor,positive,thor,positive,direct,negative,no_error,high,positive:3,negative->positive,thor->thor,positive->positive,direct->thor,3,1.0,True
meta_regression_current_correct_meta_wrong,901,restaurant,positive,I HAVE NEVER HAD A BAD MEAL(OR BAD SERVICE )@ PIGALLE.,SERVICE,negative,positive,positive,thor,positive,thor,positive,direct,negative,no_error,high,positive:3,negative->positive,thor->thor,positive->positive,direct->thor,3,1.0,True
all_sources_wrong_oracle_wrong,9,laptop,neutral,No installation disk (DVD) is included.,installation disk (DVD),negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,154,laptop,positive,Can you buy any laptop that matches the quality of a MacBook?,quality,neutral,negative,negative,direct,neutral,direct,neutral,direct,neutral,no_error,high,negative:3,neutral->negative,direct->direct,neutral->neutral,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,164,laptop,neutral,I did add a SSD drive and memory,SSD drive,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,185,laptop,neutral,"I work as a designer and coder and I needed a new buddy to work with, not gaming.",gaming,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,191,laptop,neutral,I think this is about as good as it gets at anything close to this price point.,price point,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,216,laptop,neutral,"The only solution is to turn the brightness down, etc.",brightness,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,225,laptop,neutral,I've installed to it additional SSD and 16Gb RAM.,SSD,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,253,laptop,neutral,"In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!",Legacy programs,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,254,laptop,neutral,"In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!",Appleworks,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,neutral:1;positive:2,positive->positive,thor->direct,positive->positive,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,256,laptop,neutral,"In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!",Quicken,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,257,laptop,neutral,"In fact I still use manyLegacy programs (Appleworks, FileMaker Pro, Quicken, Photoshop etc)!",Photoshop,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,315,laptop,negative,After fumbling around with the OS I started searching the internet for a fix and found a number of forums on fixing the issue.,OS,neutral,neutral,neutral,direct,neutral,direct,neutral,direct,neutral,no_error,high,neutral:3,neutral->neutral,direct->direct,neutral->neutral,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,320,laptop,neutral,"I needed a laptop with big storage, a nice screen and fast so I can photoshop without any problem.",photoshop,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,371,laptop,neutral,Came with iPhoto and garage band already loaded.,iPhoto,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,386,laptop,neutral,"fast, great screen, beautiful apps for a laptop;priced at 1100 on the apple website;amazon had it for 1098+ tax -  plus i had a 10% off coupon from amazon-cost me 998 plus tax- 1070- OTD!",cost,negative,positive,positive,direct,negative,direct,negative,direct,negative,no_error,high,positive:3,negative->positive,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,392,laptop,neutral,"The Like New condition of the iMac MC309LL/A on Amazon is at $900+ level only, and it is a Quad-Core 2.5 GHz CPU (similar to the $799 Mini), with Radeon HD 6750M 512MB graphic card (this mini is integrated Intel 4000 card), and it even comes with wireless Apple Keyboard and Mouse, all put together in neat and nice package.",wireless Apple Keyboard and Mouse,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,446,laptop,positive,I was concerned that the downgrade to the regular hard drive would make it unacceptably slow but I need not have worried - this machine is the fastest I have ever owned...,regular hard drive,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,451,laptop,neutral,I am replacing the HD with a Micron SSD soon.,HD,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:2;neutral:1,negative->negative,direct->direct,negative->negative,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,452,laptop,neutral,I am replacing the HD with a Micron SSD soon.,Micron SSD,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,457,laptop,neutral,The power plug has to be connected to the power adaptor to charge the battery but won't stay connected.,power adaptor,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:2;neutral:1,negative->negative,direct->direct,negative->negative,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,465,laptop,neutral,The troubleshooting said it was the AC adaptor so we ordered a new one.,AC adaptor,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:2;neutral:1,negative->negative,direct->direct,negative->negative,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,466,laptop,neutral,Fan only comes on when you are playing a game.,Fan,negative,positive,negative,thor,positive,direct,negative,direct,negative,missed_implicit_negative,medium,negative:1;positive:2,negative->positive,thor->direct,positive->negative,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,484,laptop,neutral,I am used to computers with windows so I am having a little difficulty finding my way around.,windows,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,495,laptop,neutral,"The sound as mentioned earlier isn't the best, but it can be solved with headphones.",headphones,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,499,laptop,negative,"If you ask me, for this price it should be included.",price,neutral,positive,positive,direct,neutral,direct,neutral,direct,neutral,no_error,high,positive:3,neutral->positive,direct->direct,neutral->neutral,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,536,laptop,neutral,"I bought it to be able to dedicate a small, portable laptop to my writing and was surprised to learn that I needed to buy a word processing program to do so.",word processing program,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,537,laptop,neutral,"This version of MacBook Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has.","third-generation CPU (""Ivy Bridge"")",negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,538,laptop,neutral,"This version of MacBook Pro runs on a third-generation CPU (""Ivy Bridge""), not the latest fourth-generation Haswell CPU the 2013 version has.",fourth-generation Haswell CPU,negative,positive,positive,direct,negative,direct,negative,direct,negative,no_error,high,positive:3,negative->positive,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,547,laptop,neutral,"Put a SSD and use a 21"" LED screen, this set up is silky smooth!",SSD,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,552,laptop,neutral,"I had to buy a wireless mouse to go with it, as I am old school and hate the pad, but knew that before I bought it, now it works great, need to get adjusted to the key board, as I am used to a bigger one and pounding.",wireless mouse,positive,positive,positive,thor,positive,direct,positive,direct,positive,no_error,high,positive:3,positive->positive,thor->direct,positive->positive,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,569,laptop,positive,The price is 200 dollars down.,price,neutral,neutral,neutral,direct,neutral,direct,neutral,direct,neutral,no_error,high,negative:1;neutral:2,neutral->neutral,direct->direct,neutral->neutral,direct->direct,1,0.6666666666666666,False
all_sources_wrong_oracle_wrong,572,laptop,neutral,"this Mac Mini does not have a built-in mic, and it would seem that its Mac OS 10.9 does not handle external microphones properly.",external microphones,negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,584,laptop,neutral,"The only thing I miss are the ""Home/End"" type keys and other things that I grew accustomed to after so long.","""Home/End"" type keys",negative,negative,negative,direct,negative,direct,negative,direct,negative,no_error,high,negative:3,negative->negative,direct->direct,negative->negative,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,595,laptop,positive,"The screen, the software and the smoothness of the operating system.",screen,neutral,neutral,neutral,direct,neutral,direct,neutral,direct,neutral,no_error,high,neutral:3,neutral->neutral,direct->direct,neutral->neutral,direct->direct,3,1.0,True
all_sources_wrong_oracle_wrong,596,laptop,positive,"The screen, the software and the smoothness of the operating system.",software,neutral,neutral,neutral,direct,neutral,direct,neutral,direct,neutral,no_error,high,neutral:3,neutral->neutral,direct->direct,neutral->neutral,direct->direct,3,1.0,True
